ts_code,code,name,total_market_val
LIN.US,LIN,Linde plc,0
LYV.US,LYV,Live Nation Entertainment,0
LMT.US,LMT,Lockheed Martin,0
L.US,L,Loews Corporation,0
LOW.US,LOW,Lowe's,0
LULU.US,LULU,Lululemon Athletica,0
LITE.US,LITE,Lumentum,0
LYB.US,LYB,LyondellBasell,0
MTB.US,MTB,M&T Bank,0
MPC.US,MPC,Marathon Petroleum,0
MAR.US,MAR,Marriott International,0
MRSH.US,MRSH,Marsh McLennan,0
MLM.US,MLM,Martin Marietta Materials,0
MAS.US,MAS,Masco,0
MA.US,MA,Mastercard,0
MKC.US,MKC,McCormick & Company,0
MCD.US,MCD,McDonald's,0
MCK.US,MCK,McKesson Corporation,0
MDT.US,MDT,Medtronic,0
MRK.US,MRK,Merck & Co.,0
META.US,META,Meta Platforms,0
MET.US,MET,MetLife,0
MTD.US,MTD,Mettler Toledo,0
MGM.US,MGM,MGM Resorts,0
MCHP.US,MCHP,Microchip Technology,0
MU.US,MU,Micron Technology,0
MSFT.US,MSFT,Microsoft,0
MAA.US,MAA,Mid-America Apartment Communities,0
MRNA.US,MRNA,Moderna,0
TAP.US,TAP,Molson Coors Beverage Company,0
MDLZ.US,MDLZ,Mondelez International,0
MPWR.US,MPWR,Monolithic Power Systems,0
MNST.US,MNST,Monster Beverage,0
MCO.US,MCO,Moody's Corporation,0
MS.US,MS,Morgan Stanley,0
MOS.US,MOS,Mosaic Company (The),0
MSI.US,MSI,Motorola Solutions,0
MSCI.US,MSCI,MSCI Inc.,0
NDAQ.US,NDAQ,"Nasdaq, Inc.",0
NTAP.US,NTAP,NetApp,0
NFLX.US,NFLX,Netflix,0
NEM.US,NEM,Newmont,0
NWSA.US,NWSA,News Corp (Class A),0
NWS.US,NWS,News Corp (Class B),0
NEE.US,NEE,NextEra Energy,0
NKE.US,NKE,"Nike, Inc.",0
NI.US,NI,NiSource,0
NDSN.US,NDSN,Nordson Corporation,0
NSC.US,NSC,Norfolk Southern,0
NTRS.US,NTRS,Northern Trust,0
NOC.US,NOC,Northrop Grumman,0
NCLH.US,NCLH,Norwegian Cruise Line Holdings,0
NRG.US,NRG,NRG Energy,0
NUE.US,NUE,Nucor,0
NVDA.US,NVDA,Nvidia,0
NVR.US,NVR,"NVR, Inc.",0
NXPI.US,NXPI,NXP Semiconductors,0
ORLY.US,ORLY,O’Reilly Automotive,0
OXY.US,OXY,Occidental Petroleum,0
ODFL.US,ODFL,Old Dominion,0
OMC.US,OMC,Omnicom Group,0
ON.US,ON,ON Semiconductor,0
OKE.US,OKE,Oneok,0
ORCL.US,ORCL,Oracle Corporation,0
OTIS.US,OTIS,Otis Worldwide,0
PCAR.US,PCAR,Paccar,0
PKG.US,PKG,Packaging Corporation of America,0
PLTR.US,PLTR,Palantir Technologies,0
PANW.US,PANW,Palo Alto Networks,0
PSKY.US,PSKY,Paramount Skydance Corporation,0
PH.US,PH,Parker Hannifin,0
PAYX.US,PAYX,Paychex,0
PYPL.US,PYPL,PayPal,0
PNR.US,PNR,Pentair,0
PEP.US,PEP,PepsiCo,0
PFE.US,PFE,Pfizer,0
PCG.US,PCG,PG&E Corporation,0
PM.US,PM,Philip Morris International,0
PSX.US,PSX,Phillips 66,0
PNW.US,PNW,Pinnacle West Capital,0
PNC.US,PNC,PNC Financial Services,0
POOL.US,POOL,Pool Corporation,0
PPG.US,PPG,PPG Industries,0
PPL.US,PPL,PPL Corporation,0
PFG.US,PFG,Principal Financial Group,0
PG.US,PG,Procter & Gamble,0
PGR.US,PGR,Progressive Corporation,0
PLD.US,PLD,Prologis,0
PRU.US,PRU,Prudential Financial,0
PEG.US,PEG,Public Service Enterprise Group,0
PTC.US,PTC,PTC Inc.,0
PSA.US,PSA,Public Storage,0
PHM.US,PHM,PulteGroup,0
PWR.US,PWR,Quanta Services,0
QCOM.US,QCOM,Qualcomm,0
DGX.US,DGX,Quest Diagnostics,0
Q.US,Q,Qnity Electronics,0
RL.US,RL,Ralph Lauren Corporation,0
RJF.US,RJF,Raymond James Financial,0
RTX.US,RTX,RTX Corporation,0
O.US,O,Realty Income,0
REG.US,REG,Regency Centers,0
