trade_date,open,high,low,close,volume
2024-07-16,6434.0,6437.0,6311.0,6317.0,6504
2024-07-17,6319.0,6357.0,6285.0,6306.0,6103
2024-07-18,6306.0,6350.0,6246.0,6314.0,6718
2024-07-19,6314.0,6319.0,6148.0,6169.0,6879
2024-07-22,6169.0,6283.0,6128.0,6258.0,6674
2024-07-23,6258.0,6302.0,6186.0,6205.0,5437
2024-07-24,6205.0,6221.0,6124.0,6155.0,5551
2024-07-25,6156.0,6186.0,6005.0,6029.0,7767
2024-07-26,6032.0,6105.0,5978.0,6011.0,7798
2024-07-29,6013.0,6139.0,5996.0,6087.0,7987
2024-07-30,6099.0,6106.0,5984.0,6003.0,5695
2024-07-31,6005.0,6149.0,5997.0,6113.0,7730
2024-08-01,6118.0,6158.0,6074.0,6103.0,6513
2024-08-02,6105.0,6122.0,5949.0,5991.0,7126
2024-08-05,5987.0,6015.0,5783.0,5906.0,11510
2024-08-06,5903.0,5975.0,5809.0,5851.0,9471
2024-08-07,5850.0,5992.0,5815.0,5945.0,7820
2024-08-08,5946.0,6005.0,5861.0,5946.0,8765
2024-08-09,5948.0,6093.0,5943.0,6021.0,7488
2024-08-12,6022.0,6055.0,5978.0,6028.0,5489
2024-08-13,6028.0,6093.0,6016.0,6048.0,5817
2024-08-14,6048.0,6094.0,6005.0,6032.0,5216
2024-08-15,6033.0,6112.0,5958.0,6039.0,8545
2024-08-16,6042.0,6190.0,6034.0,6160.0,7824
2024-08-19,6165.0,6281.0,6133.0,6237.0,6297
2024-08-20,6237.0,6299.0,6179.0,6205.0,5438
2024-08-21,6206.0,6207.0,6079.0,6135.0,6875
2024-08-22,6134.0,6239.0,6132.0,6228.0,7936
2024-08-23,6226.0,6235.0,6143.0,6228.0,6439
2024-08-26,6225.0,6302.0,6207.0,6280.0,6439
2024-08-27,6277.0,6320.0,6202.0,6316.0,5938
2024-08-28,6315.0,6330.0,6205.0,6229.0,7463
2024-08-29,6212.0,6252.0,6118.0,6220.0,7778
2024-08-30,6222.0,6387.0,6208.0,6315.0,9335
2024-09-02,6317.0,6320.0,6179.0,6195.0,6817
2024-09-03,6199.0,6212.0,6156.0,6182.0,4572
2024-09-04,6182.0,6182.0,6073.0,6126.0,6883
2024-09-05,6127.0,6163.0,6058.0,6099.0,6092
2024-09-06,6098.0,6099.0,6084.0,6094.0,217
2024-09-09,6040.0,6052.0,5950.0,5985.0,4522
2024-09-10,5985.0,6042.0,5961.0,6001.0,5586
2024-09-11,6002.0,6006.0,5921.0,5971.0,5397
2024-09-12,5970.0,6066.0,5956.0,6021.0,6457
2024-09-13,6023.0,6136.0,5986.0,6066.0,5945
2024-09-16,6070.0,6097.0,5996.0,6096.0,5028
2024-09-17,6098.0,6203.0,6071.0,6179.0,4956
2024-09-19,6181.0,6336.0,6146.0,6318.0,8052
2024-09-20,6319.0,6436.0,6270.0,6389.0,9995
2024-09-23,6390.0,6459.0,6346.0,6391.0,6881
2024-09-24,6391.0,6747.0,6388.0,6746.0,12187
2024-09-25,6749.0,7037.0,6738.0,6792.0,13268
2024-09-26,6799.0,7135.0,6769.0,7134.0,13023
2024-09-27,7176.0,7436.0,7175.0,7410.0,21654
2024-09-30,7418.0,7684.0,7287.0,7559.0,28272
2024-10-02,7550.0,8182.0,7320.0,8031.0,33671
2024-10-03,8033.0,8189.0,7670.0,7928.0,31913
2024-10-04,7927.0,8211.0,7740.0,8209.0,24402
2024-10-07,8203.0,8403.0,8053.0,8357.0,26085
2024-10-08,8357.0,8417.0,7371.0,7424.0,56625
2024-10-09,7425.0,7715.0,7209.0,7357.0,53243
2024-10-10,7359.0,7788.0,7359.0,7628.0,27558
2024-10-14,7629.0,7698.0,7428.0,7584.0,20495
2024-10-15,7584.0,7719.0,7227.0,7287.0,17794
2024-10-16,7289.0,7382.0,7173.0,7267.0,15918
2024-10-17,7270.0,7472.0,7148.0,7162.0,15182
2024-10-18,7165.0,7544.0,7092.0,7496.0,20204
2024-10-21,7502.0,7524.0,7325.0,7332.0,14175
2024-10-22,7341.0,7422.0,7271.0,7355.0,10292
2024-10-23,7355.0,7554.0,7316.0,7470.0,11550
2024-10-24,7469.0,7480.0,7344.0,7358.0,9231
2024-10-25,7350.0,7464.0,7272.0,7392.0,8125
2024-10-28,7394.0,7421.0,7310.0,7392.0,8649
2024-10-29,7391.0,7507.0,7364.0,7436.0,10420
2024-10-30,7465.0,7604.0,7269.0,7309.0,9396
2024-10-31,7303.0,7383.0,7257.0,7280.0,8425
2024-11-01,7276.0,7437.0,7235.0,7361.0,8651
2024-11-04,7363.0,7416.0,7328.0,7385.0,7430
2024-11-05,7379.0,7584.0,7312.0,7568.0,10289
2024-11-06,7568.0,7583.0,7309.0,7391.0,12691
2024-11-07,7389.0,7602.0,7231.0,7601.0,12916
2024-11-08,7600.0,7723.0,7327.0,7407.0,16033
2024-11-11,7407.0,7433.0,7246.0,7361.0,12883
2024-11-12,7349.0,7408.0,7102.0,7141.0,10858
2024-11-13,7131.0,7144.0,7018.0,7132.0,9144
2024-11-14,7128.0,7190.0,6951.0,6968.0,9467
2024-11-15,6973.0,7058.0,6930.0,6981.0,9086
2024-11-18,6982.0,7137.0,6968.0,7068.0,8269
2024-11-19,7067.0,7135.0,7024.0,7094.0,6909
2024-11-20,7090.0,7124.0,6994.0,7098.0,6925
2024-11-21,7099.0,7107.0,7016.0,7028.0,6307
2024-11-22,7027.0,7075.0,6854.0,6877.0,7943
2024-11-25,6873.0,6954.0,6820.0,6856.0,6982
2024-11-26,6854.0,6918.0,6783.0,6849.0,5582
2024-11-27,6853.0,7065.0,6809.0,7025.0,7930
2024-11-28,7041.0,7070.0,6920.0,6932.0,5866
2024-11-29,6932.0,7066.0,6914.0,6983.0,7390
2024-12-02,6988.0,7080.0,6952.0,7033.0,8253
2024-12-03,7043.0,7110.0,6945.0,7094.0,7776
2024-12-04,7096.0,7145.0,7044.0,7101.0,6312
2024-12-05,7102.0,7105.0,6991.0,7038.0,5424
2024-12-06,7038.0,7183.0,7023.0,7169.0,7676
2024-12-09,7164.0,7472.0,7089.0,7461.0,12448
